القسم / المعيار | التفاصيل والمحتوى السريري المستخلص
1. المرض والآلية المرضية(Disease & Pathophysiology) | • الربو هو حالة مزمنة شائعة (Common chronic condition) غير مفهومة الأسباب بشكل كامل.• يتميز بثلاثة خصائص رئيسية كلاسيكية:  1. تحديد تدفق الهواء (Airflow limitation): يكون عادةً عكوساً بشكل تلقائي أو مع العلاج (Reversible spontaneously or with treatment).  2. فرط استجابة الطرق التنفسية (Airway hyper-responsiveness): لمجموعة واسعة من المثيرات.  3. التهاب القصبات (Bronchial inflammation): يشمل الخلايا اللمفاوية التائية (T-lymphocytes)، الخلايا البدينة (Mast cells)، والخلايا الحامضية (Eosinophils) مع نضح بلازمي، وذمة (Oedema)، تضخم العضلات الملساء، ترسب الماتريكس، سدادات مخاطية (Mucus plugging)، وتلف ظهاري.• في الربو المزمن، يؤدي الالتهاب المستمر إلى تحديد غير عكوس لتدفق الهواء نتيجة إعادة تشكيل جدار الطرق التنفسية الكبيرة والصغيرة (Airway wall remodelling) وانحشار المخاط.
2. عوامل الخطورة والمثيرات(Risk Factors & Triggers) | • العوامل الوراثية (Genetic factors): لا يوجد جين واحد مسؤول، بل جينات متعددة تؤثر على تطور المرض بالتآثر مع البيئة، بما في ذلك الجينات المرتبطة بتركيب السيتوكينات والـ IgE.• عوامل بيئية والتدخين (Environmental factors): التأثير المتأخر لبيئة معقمة جداً مقارنة بالبيئة المتسخة (Hypothesis of hygiene).• المثيرات والمؤرجات الشائعة (Triggers/Allergens):  - التعرض للمؤرجات البيئية (Environmental allergens): عث غبار المنزل (House-dust mite)، حبوب اللقاح (Grass pollen)، والحيوانات الأليفة كالقطط الفروية، والأبواغ الفطرية (Aspergillus fumigatus).  - المحسسات المهنية (Occupational sensitizers): مثل الإيزوسيانات (Isocyanates) في دهان الرش، أبخرة اللحام، وغبار الخشب، والمحسسات ذات الوزن الجزيئي المرتفع (مؤرجات الحيوانات، اللاتكس لدى عمال الصحة، والمضادات الحيوية).  - الإنتانات الفيروسية (Viral infections): مثل الفيروس الأنفي (Rhinovirus)، الفيروس الغدي (Parainfluenza)، والفيروس المخلوي التنفسي (RSV).  - عوامل غير نوعية (Non-specific factors): الهواء البارد والتمارين الرياضية (Cold air & exercise)، الملوثات الجوية (SO2, Ozone, NO2)، الانفعالات العاطفية (Emotion)، الغبار والمخرشات (العطور ودخان السجائر).  - الأدوية (Drugs): مضادات الالتهاب غير الستيرويدية (NSAIDs) مثل الأسبرين والإيبوبروفين، وحاصرات مستقبلات بيتا (Beta-blockers).
3. الأعراض والعلامات(Clinical Features) | • الأعراض الرئيسية تشمل:  - الأزيز (Wheeze): هجمات من الصفير أثناء التنفس.  - ضيق الصدر (Chest tightness).  - السعال (Cough): سعال متكرر، وقد يكون العرض التقديمي الوحيد في بعض الحالات خصوصاً السعال الليلي (Nocturnal cough).  - ضيق التنفس النوبي (Episodic shortness of breath).• الخصائص السريرية:  - الأعراض تكون عادةً أسوأ في الليل (Worst at night) أو في الصباح الباكر.  - تختلف الهجمات بشكل كبير في التكرار والمدة وتتحرض بالمثيرات المذكورة.  - يترافق الربو طفلي المنشأ (Childhood-onset) غالباً مع الأكزيما (Eczema) والتأتب السريري، في حين يتحرض ربو البالغين (Adult-onset) غالباً بالإنتانات التنفسية أو المحسسات المهنية.
4. الاستقصاءات المخبرية(Laboratory Investigations) | • لا يوجد فحص تشخيصي واحد مرضٍ لجميع المرضى، وتعتمد على مجموعة فحوصات:• اختبارات وظائف الرئة (Lung function tests):  - قياس الجريان الزفيري الذروي (PEF / PEFR): قياسات الاستيقاظ وقبل النوم، وقبل وبعد موسعات القصبات تظهر التغيرية اليومية (Diurnal variation > 10% على مدار أسبوعين).  - قياس التنفس (Spirometry): لتقييم العكوسية (Reversibility). يشخص الربو عند إثبات تحسن بأكثر من 15% (أو >12% و 200 مل) في الـ FEV1 أو الـ PEFR بعد استنشاق موسع قصبات (مثل 200-400 ميكروغرام سالبوتامول).• أكسيد النيتريك المنفور الجزئي (FeNO): مقياس لالتهاب الطرق التنفسية والاستجابة للكورتيكوستيرويدات. القيمة < 25 ppb طبيعية، 25-50 متوسطة، و > 50 ppb مرتفعة وتشير لسرعة الاستجابة للمنشقات الستيرويدية والتهاب فعال.• اختبار التحدي القصباتي الإيجابي (Bronchial challenge test): انخفاض FEV1 بأكثر من 20% عند إعطاء جرعات قياسية من الميثاكولين (Methacholine) أو >15% مع المانيتول.• فحوصات الدم والقشع (Blood and sputum tests): زيادة خلايا الإيوزينوفيل (Eosinophils) في الدم المحيطي (>0.4 × 10^9/L)، وتعتبر كثرة الإيوزينوفيل في القشع (Sputum eosinophilia) نتيجة تشخيصية أكثر نوعية.• اختبارات الجلد (Skin prick tests): لتحديد عوامل التحريض والمؤرجات النوعية (الـ IgE النوعي).
5. الاستقصاءات الشعاعية(Radiological Investigations) | • تصوير الصدر بالشععة السينية (Chest radiograph):  - لا توجد ميزات تشخيصية نوعية للربو في صورة الصدر.  - قد يظهر فرط انتفاخ الرئتين (Overinflation) كعلامة مميزة خلال النوبات الحادة أو في حالات المرض المزمن الشديد.  - الفائدة الأساسية لصورة الصدر هي نفي التشاخيص البديلة والاختلاطات مثل استرواح الصدر (Pneumothorax)، أو الكشف عن الارتشاحات الرئوية المرتبطة بداء الرشاشيات البرونكوروبي الأرجي (Allergic bronchopulmonary aspergillus).
6. التشخيص التفريقي(Differential Diagnosis) | • التهاب القصبات الحاد (Acute bronchitis): يتميز بسعال مخرش غير منتج يتبعه انزعاج خلف القص وضيق صدر وأزيز، لكنه حالة حادة ومحددة ذاتياً وتشفى في غضون 4-8 أيام لدى الأصحاء وعادة ما تكون فيروسية، بخلاف الربو الذي يعد مرضاً نكسياً مزيجاً بين عوامل وراثية وبيئية.• الداء الرئوي السدادي المزمن (COPD): تتدخل الميزات في تفريقها وخاصة معايير العكوسية في وظائف الرئة ونمط التدخين.• أمراض الطرق التنفسية الأخرى التي تسبب أزيزاً وضيق نفس نوبي (مثل قصور القلب الأيسر، انسداد مجرى الهواء العلوي).
7. التشخيص النهائي(Final Diagnosis) | • يتم التشخيص النهائي بناءً على القصة السريرية المتوافقة (أعراض نوبية متغيرة تشتد ليلاً) مقترنة بإثبات موضوعي لـ الانسداد المتغير في مجرى الهواء (Evidence of airflow obstruction):  - نسبة FEV1:FVC تكون أقل من 75%.  - مع وجود دليل على التغيرية (Evidence of variation) مثل تحسن FEV1 بعد الموسع القشبي بـ >12% و 200 مل، أو تغيرية يومية في الـ PEF بأكثر من 10%، أو اختبار تحدي قصباتي إيجابي.
8. اختلاطات المرض(Complications) | • نوبات الربو الحادة الشديدة (Severe acute asthma attacks) والتي قد تهدد الحياة.• تحديد دائم وغير عكوس لتدفق الهواء (Irreversible airflow limitation) بسبب إعادة تشكيل جدار القصبات.• استرواح الصدر (Pneumothorax) كاختلاط حاد للنوبة الشديدة.• داء الرشاشيات البرونكوروبي الأرجي (ABPA).• تأثيرات جانبية للأدوية (مثل السلاق الفموي وبحة الصوت الناتجة عن الكورتيكوستيرويدات المستنشقة، أو هشاشة العظام نتيجة الكورتيكوستيرويد الفموي طويل الأمد).
9. الوقاية(Prevention) | • تجنب المثيرات والمحسسات المحددة (Avoidance of identified triggers) حيثما أمكن ذلك.• تجنب التدخين الإيجابي والسلبي (Active and passive smoking).• إغلاق العمليات الصناعية وتوفير التهوية المناسبة في بيئات العمل للوقاية من الربو المهني.• التثقيف الصحي للمريض وعائلته حول طبيعة المرض وخطة العلاج المكتوبة لتجنب الانفعالات الحادة والأزمات المفاجئة.
10. العلاج غير الدوائي(Non-pharmacological Management) | • تثقيف المريض (Patient and family education) ومشاركته الفعالة في العلاج من خلال خطة إدارة ذاتية موثقة (Individualized, documented treatment plan) تعتمد على مراقبة الـ PEFR والأعراض.• السيطرة على العوامل الخارجية وتجنب المؤرجات (Control of extrinsic factors) وعزل عث غبار المنزل.• العلاج المناعي للمؤرجات تحت اللسان (SLIT) للأطفال المصابين بحساسية عث الغبار (يقلل النوبات ويجري تطويره للبالغين).• تعديل النظام الغذائي: تناول الفواكه والخضروات الطازجة بكثرة يلعب دوراً وقائياً لاحتوائه على مضادات الأكسدة مثل الفلافونويد.• الانضمام لمجموعات الدعم الذاتي (Self-help groups) لتعزيز الثقة بالنفس واللياقة البدنية وتحسين فهم المرض.
